,Description,UseType
594,"ERECT A 38'X73'-9"" SINGLE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL OF 2656.2 SQ FT WITH LIVING AREA 2060 SQ FT, GARAGE 452.7 SQ FT, AND OTHER 142.9 SQ FT. SMOKE DETECTORS, BEDROOM WINDOWS, PRE-FAB FIREPLACE MUST COMPLY WITH CODES.  SAN FACILITY REQUIRED.  MUST COMPLY WITH STATE ENERGY CODES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
595,REPAIR FIRE DAMAGE TO EXISTING APARTMENT. INTENT TO REPAIR PER HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
596,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
597,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
598,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE HOTEL LOBBY. A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
599,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF AN ADA RESTROOM RENOVATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Commercial
600,"ERECT A 50'X74'- 1/2"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL SQ FT OF 3095 WITH 2244 SQ FT 1ST FLOOR LIVING AREA, 318 SQ FT 2ND FLOOR LIVING AREA, 480 SQ FT GARAGE, AND 53 SQ FT OTHER.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  MUST MAINTAIN 10' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
601,INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
602,"ERECT A 30'-11""X 88'-11"" TWO STORIES BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3145, WITH FIRST LIVING AREA OF 1582 SQ FT, 2ND FLOOR 1061 SQ FT, AND GARAGE 502 SQ FT. PRE-FAB FIREPLACE, BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS MUST COMPLY WITH CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDS/3 BATHS)",Residential
603,"INSTALL A 10'X20 30'HIGH PYLON STANDING ALONE SIGN WITH TWO FACES. UL NUMBERS HG780471, HG780472. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10 FT AND SHALL NOT EXCEED 45 FT IN HEIGHT. ALL INSPECTION REQUIRED BY AL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
604,"GRADING PERMIT TO ERECT A 38'X73'-9"" SINGLE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL OF 2656.2 SQ FT WITH LIVING AREA 2060 SQ FT, GARAGE 452.7 SQ FT, AND OTHER 142.9 SQ FT.PROJECT IS IN A PRIORITY CONSTRUCTION SITE.  ADEM NPDES PERMIT IS REQUIRED.  NPEDES NUMBER ALR10A816.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
605,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #163404 ON FLIE. BOND RECIEPT #427718 ON FILE. ADEM APPLICATION ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Commercial
606,"ALTERATIONS/RESTORATION TO A 53,775 SQ FT COMMERCIAL BUILDING TO BE USED AS A MERCANTILE FACILITY.  ALL INSPECTIONS ARE REQUIRED BY ALL APPLICBLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. SUBMIT INFORMATION SHOWING COMPLIANCE WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
607,"ERECT A 30'-11""X 88'-11"" TWO STORIES BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3145, WITH FIRST LIVING AREA OF 1582 SQ FT, 2ND FLOOR 1061 SQ FT, AND GARAGE 502 SQ FT. PRE-FAB FIREPLACE, BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS MUST COMPLY WITH CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDS/3 BATHS)",Residential
608,"ERECT A 30'-11""X 88'-11"" TWO STORIES BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3145, WITH FIRST LIVING AREA OF 1582 SQ FT, 2ND FLOOR 1061 SQ FT, AND GARAGE 502 SQ FT. PRE-FAB FIREPLACE, BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS MUST COMPLY WITH CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDS/3 BATHS)",Residential
609,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE EXAM ROOMS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS. A COPY OF STAMPED PLANS TO BE KEPT ON SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
610,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING FOR THE PURPOSE OF AN ADA RESTROOM RENOVATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS.  TO MEET ALL APPLICABLE CODES.,Commercial
611,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
612,CERTIFICATE OF OCCUPANCY FOR A BUS LIC TO BE USED AS RECORDING STUDIO.  POINT OF CONTACT MARTY LITTLE 323-492-4495.,Commercial
613,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
614,"INSTALL 3 - 17'6""X 13' FREE STANDING ILLUMINATED SIGN WITH 6 FACES. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45 FT IN HEIGHT.  UL NUMBERS HG780461, HG780462, HG780463. ALL INSPECTION REQUIRED BY ALL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
615,"DEMOLISH A DWELLING TO CLEAR LOT.  HEALTH DEPT APPROVAL, WATER WORKS 167824, BOND 427719 ON FILE.THIS PERMIT IS GOOD FOR 30 DAYS.  FINAL INSPECTION IS REQUIRED BY BUILDING DEPT.  TO MEET ALL APPLICABLE CODES.",Residential
616,GRADING PERMIT TO ERECT A 42’ X 42.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1518 SF (LIVING AREA-1ST FL); 0 SF (GARAGE); 117 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
617,"ALTERATIONS/RESTORATION TO A 53,775 SQ FT COMMERCIAL BUILDING TO BE USED AS A MERCANTILE FACILITY.  ALL INSPECTIONS ARE REQUIRED BY ALL APPLICBLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. SUBMIT INFORMATION SHOWING COMPLIANCE WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
618,"ALTERATIONS/RESTORATION TO A 53,775 SQ FT COMMERCIAL BUILDING TO BE USED AS A MERCANTILE FACILITY.  ALL INSPECTIONS ARE REQUIRED BY ALL APPLICBLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. SUBMIT INFORMATION SHOWING COMPLIANCE WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
619,INSPECT FOR CERTIFICATE OF OCCUPANCY; CERTIFIED TECHINCAL EXPERTS (OFFICE SPACE); MARSHA PERSON (334)782-0156,Commercial
620,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LIC TO BE USED AS A DAYCAR CENTER.  POINT OF CONTACT TERESA ELEM 334-399-0555 AND JOHNNIE MONTGOMERY 334-221-721.,Commercial
621,INSPECT FOR CERTIFICATE OF OCCUPANCY; CERTIFIED TECHINCAL EXPERTS (OFFICE SPACE); MARSHA PERSON (334)782-0156,Commercial
622,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
623,ERECT A 28' X 5' HANDICAPP RAMP TO THE FRONT OF AN EXISTING DWELLING.  ALL INSPECTIONS REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES,Residential
624,"ALTERATIONS/RESTORATION TO A 53,775 SQ FT COMMERCIAL BUILDING TO BE USED AS A MERCANTILE FACILITY.  ALL INSPECTIONS ARE REQUIRED BY ALL APPLICBLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. SUBMIT INFORMATION SHOWING COMPLIANCE WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.",Commercial
625,"ERECT A 38'X73'-9"" SINGLE STORY BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL OF 2656.2 SQ FT WITH LIVING AREA 2060 SQ FT, GARAGE 452.7 SQ FT, AND OTHER 142.9 SQ FT. SMOKE DETECTORS, BEDROOM WINDOWS, PRE-FAB FIREPLACE MUST COMPLY WITH CODES.  SAN FACILITY REQUIRED.  MUST COMPLY WITH STATE ENERGY CODES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPT.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
626,"GRADING PERMIT TO ERECT A 55'-6"" X 58'-4"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL OF 4270 SQ FT WITH 1ST FLOOR 2257 SQ FT, 2ND FLOOR 1364 SQ FT, GARAGE 486 SQ FT, OTHER 163 SQ FT.  PROPERTY IS IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. ALR107430. TO MEET ALL APPLICABLE CODES.",Residential
627,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE EXAM ROOMS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS. A COPY OF STAMPED PLANS TO BE KEPT ON SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
628,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #163404 ON FLIE. BOND RECIEPT #427718 ON FILE. ADEM APPLICATION ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Commercial
629,"PRE-FABRICATED 10 X 20 WOODEN STORAGE BUILDING TO BE INSTALLED.  MUST MAINTAIN 10' BETWEEN STRUCTURES, 10' SIDE YARD & 12' REAR EASEMENT. TO MEET ALL APPLICABLE CODES.  ALL INSPECTIONS MUST PASS ALL APPLICABLE INSPECTIONS.",Residential
630,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
631,GRADING PERMIT TO ERECT AN ADDITION TO EXISTING COMMERCIAL BUILDING.PROPERTY NOT LOCATED IN PRIORITY CONSTRUCTION SITE. MUST COMPLY WITH CITY GUIDELINES. TO MEET ALL APPLICABLE CODES.,Commercial
632,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
633,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
634,"ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO REPLACE EXISTING 12’x12’ WOOD PORCH WITH NEW 12’x12’ WOOD PORCH. INSTALL SCREEN PANELS AT 12’x12’ WOOD PORCH. INSTALL 8’x16’ DECK, NOT TO BE COVERED; APPEND TO EXISITNG PORCH. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
635,REPAIR FIRE DAMAGE TO EXISTING APARTMENT. INTENT TO REPAIR PER HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
636,ERECT A 42’ X 42.5’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1518 SF (LIVING AREA-1ST FL); 0 SF (GARAGE); 117 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (3 BR/2 BATH),Residential
637,ALTERATIONS TO AN EXISTING COMMERCIAL BUILDING TO THE EXAM ROOMS. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPARTMENTS. A COPY OF STAMPED PLANS TO BE KEPT ON SITE AT ALL TIMES.  TO MEET ALL APPLICABLE CODES.,Commercial
638,INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
639,DEMOLISH AN EXISTING DWELLING TO CLEAR LOT. HEALTH DEPT APPROVAL ON FILE. WATER WORKS #163404 ON FLIE. BOND RECIEPT #427718 ON FILE. ADEM APPLICATION ON FILE. PERMIT IS GOOD FOR (30) THIRTY DAYS. BUILDING FINAL INSPECTION IS REQUIRED. TO MEET ALL APPLICABLE CODES.,Commercial
640,ERECT A 72’X 44’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2188 SF (LIVING AREA-1ST FL); 340 SF (LIVING AREA-2ND FL); 471 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
641,GENERAL REPAIRS TO INSTALL 6 HELICAL PIERS FOR FOUNDATION REPAIR ON EXISTING FOUNDATION. ALL INSPECTIONS ARE REQUIRED. TO MEET ALL APPLICABLE CODES.,Residential
642,"INSTALL A 10'X20 30'HIGH PYLON STANDING ALONE SIGN WITH TWO FACES. UL NUMBERS HG780471, HG780472. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10 FT AND SHALL NOT EXCEED 45 FT IN HEIGHT. ALL INSPECTION REQUIRED BY AL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
643,"INSTALL 3 - 17'6""X 13' FREE STANDING ILLUMINATED SIGN WITH 6 FACES. NO PART OF ANY SIGN SHALL BE CLOSER TO THE STREET PROPERTY LINES THAN 10' AND SHALL NOT EXCEED 45 FT IN HEIGHT.  UL NUMBERS HG780461, HG780462, HG780463. ALL INSPECTION REQUIRED BY ALL APPLICABLE CODES.  TO MEET ALL APPLICABLE DEPTS.",Commercial
644,INTERIOR ALTERATIONS TO EXISTING COMMERCIAL BUILDING. TO COMPLETE TENANT BUILDOUT. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
645,REPAIR FIRE DAMAGE TO EXISTING APARTMENT. INTENT TO REPAIR PER HOUSING CODE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
646,ERECT A 72’X 44’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2188 SF (LIVING AREA-1ST FL); 340 SF (LIVING AREA-2ND FL); 471 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
647,"ERECT A 50'X74'- 1/2"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL SQ FT OF 3095 WITH 2244 SQ FT 1ST FLOOR LIVING AREA, 318 SQ FT 2ND FLOOR LIVING AREA, 480 SQ FT GARAGE, AND 53 SQ FT OTHER.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY CODES. SAN FACILITY REQUIRED.  MUST MAINTAIN 10' BETWEEN STRUCTURES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDROOMS/2 BATHS)",Residential
648,"ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING TO REPLACE EXISTING 12’x12’ WOOD PORCH WITH NEW 12’x12’ WOOD PORCH. INSTALL SCREEN PANELS AT 12’x12’ WOOD PORCH. INSTALL 8’x16’ DECK, NOT TO BE COVERED; APPEND TO EXISITNG PORCH. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.",Residential
649,GRADING PERMIT TO ERECT A 60.75’ X 45’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1668 SF (LIVING AREA-1ST FL); 403 SF (GARAGE); 17 SF (OTHER). PROPERTY IS NOT IN A PRIORITY SITE. MUST COMPLY WITH CITY GUIDE LNES. TO MEET ALL APPLICABLE CODES.,Residential
650,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. MAINTAIN EXISTS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
651,"GRADING PERMIT TO ERECT A 30'-11""X 88'-11"" TWO STORIES BRICK VENEER SINGLE FAMILY DWELLING WITH A TOTAL SQ FT OF 3145, WITH FIRST LIVING AREA OF 1582 SQ FT, 2ND FLOOR 1061 SQ FT, AND GARAGE 502 SQ FT. PROJECT IS IN A PRIORITY CONSTRUCTION SITE. ADEM NPDES PERMIT IS REQUIRED. NPDES PERMIT IS ALR109831. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (4 BEDS/3 BATHS)",Residential
652,"ERECT A 55'-6"" X 58'-4"" TWO STORIES SINGLE FAMILY BRICK VENEER DWELLING WITH A TOTAL OF 4270 SQ FT WITH 1ST FLOOR 2257 SQ FT, 2ND FLOOR 1364 SQ FT, GARAGE 486 SQ FT, OTHER 163 SQ FT.  STAIRS, PRE-FAB FIREPLACE, BEDROOM WINDOWS, AND SMOKE DETECTORS PER CODES.  MUST COMPLY WITH STATE ENERGY REPORT.  SAN FACILITY REQUIRED. MUST MAINTAIN 16' BETWEEN STRUCTURES.   ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES. (5 BEDROOMS/ 4 BATHS)",Residential
653,ERECT A 65.12’X 35.6’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1350.7 SF (LIVING AREA-1ST FL); 1295.5 SF (LIVING AREA-2ND FL); 464 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
654,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
655,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
656,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
657,ALTERARTIONS TO EXISTING 7TH FLOOR OF COMMERCIAL BUILDING TO BE USED FOR OFFICE SPACE. MAINTAIN EXITS DURING CONSTRUCTION. MAINTAIN SPRINKLER COVERAGE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES,Commercial
658,REPLACE WINDOWS TO EXISTING DWELLING. BEDROOM WINDOWS PER CODES. TO MEET ALL APPLICABLE CODES.,Residential
659,ALTERATIONS TO INSTALL ADDITIONAL EQUIPMENT FOR AN EXISTING CNG FUELING STATION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW LETTER MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES.,Commercial
660,ERECT A 58.9’X 51.01’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1841 SF (LIVING AREA-1ST FL); 1230 SF (LIVING AREA-2ND FL); 625 SF (GARAGE); 161 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (5 BR/3 BATH/1 HALF BATH),Residential
661,ADDITION TO EXISTING COMMERCIAL BUILDING (NORTH LOADING DOCK ADDITION). ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
662,"ERECT A 29'9"" X 68'4"" ONE STORY BRICK VENEER SINGLE FAMILY RESIDNECE WITH 1879 SF TOTAL, 1424 SF LIVING AREA, 396 SF GARAGE, OTHER 59 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (3BR/2BATHS)",Residential
663,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
664,"ERECT A 25'8"" X 25'8"" ONE STORY DETACHED TW0 CAR GARAGE TO THE REAR OF AN EXISTING DWELLING. ARB REQUEST APPROVAL ON FILE. MUST MAINTAIN 10' BETWEEN STRUCTURES. MUST COMPLY WITH HISTORICAL REQUIREMENTS.  ALL INSEPETION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.",Residential
665,ERECT A 65.12’X 35.6’ TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1350.7 SF (LIVING AREA-1ST FL); 1295.5 SF (LIVING AREA-2ND FL); 464 SF (GARAGE); 139 SF (OTHER). PRE-FAB FIREPLACE PER CODE. BEDROOM WINDOWS AND SMOKE DETECTORS PER CODE. SAN FAC REQ PER IBC. MUST COMPLY WITH STATE ENERGY CODE. CONTRACTOR TO MEET ALL APPLICABLE CODES. (4 BR/3 BATH/1 HALF BATH),Residential
666,REMOVING EXISTING DAMAGED ROOF DECKING AND REPLACING WITH NEW. REPAIRING EXISITNG FASCIA WHERE APPLICABLE. INSTALL NEW ASPHALT SHINGLE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
667,True Grace Fellowship Community Church/House of Yaweh   Angela Fields   (334) 557-5176,Commercial
668,INSTALL GUTTERS.,Residential
669,ALTERARTIONS TO EXISTING 7TH FLOOR OF COMMERCIAL BUILDING TO BE USED FOR OFFICE SPACE. MAINTAIN EXITS DURING CONSTRUCTION. MAINTAIN SPRINKLER COVERAGE. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS MUST BE KEPT ON JOB SITE AT ALL TIMES. TO MEET ALL APPLICABLE CODES,Commercial
670,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
671,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODES.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DPETS.  TO MEET ALL APPLICABLE CODES.,Residential
672,REPLACEMENT OF WINDOWS TO AN EXISTING DWELLING.  BEDROOM WINDOWS MUST COMPLY TO CODE.  ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
673,ALTERATIONS TO EXTERIOR OF COMMERCIAL BUILDING FOR SITE LIGHTING. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
